Entry,Gene Ontology (GO)
P02992,mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; mitochondrial translation [GO:0032543]; mitochondrial translational elongation [GO:0070125]
P02994,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; eukaryotic translation elongation factor 1 complex [GO:0005853]; fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]; ribosome [GO:0005840]; actin filament binding [GO:0051015]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; melatonin binding [GO:1904408]; protein kinase binding [GO:0019901]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; actin filament bundle assembly [GO:0051017]; cellular response to amino acid starvation [GO:0034198]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; translation [GO:0006412]; translational elongation [GO:0006414]; tRNA export from nucleus [GO:0006409]
P03069,"nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; transcription regulator complex [GO:0005667]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; mediator complex binding [GO:0036033]; protein self-association [GO:0043621]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; TFIID-class transcription factor complex binding [GO:0001094]; amino acid biosynthetic process [GO:0008652]; cellular response to amino acid starvation [GO:0034198]; intracellular signal transduction [GO:0035556]; negative regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0010688]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nitrogen catabolite activation of transcription from RNA polymerase II promoter [GO:0001080]; positive regulation of cellular response to amino acid starvation [GO:1903833]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; protein localization to nuclear periphery [GO:1990139]; response to amino acid starvation [GO:1990928]"
P03870,"DNA binding, bending [GO:0008301]; double-stranded DNA binding [GO:0003690]; single-stranded DNA binding [GO:0003697]; site-specific recombinase activity [GO:0009009]; plasmid recombination [GO:0042150]"
P03871,nucleus [GO:0005634]; identical protein binding [GO:0042802]; 2-micrometer plasmid partitioning [GO:0030543]; protein localization [GO:0008104]
P03873,"mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; electron transfer activity [GO:0009055]; endonuclease activity [GO:0004519]; nuclease activity [GO:0004518]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mRNA processing [GO:0006397]; proton transmembrane transport [GO:1902600]; RNA splicing [GO:0008380]"
P03877,"mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; endonuclease activity [GO:0004519]; heme binding [GO:0020037]; electron transport coupled proton transport [GO:0015990]; intron homing [GO:0006314]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]"
P03878,"mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; endonuclease activity [GO:0004519]; heme binding [GO:0020037]; electron transport coupled proton transport [GO:0015990]; intron homing [GO:0006314]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]"
P03879,"mitochondrion [GO:0005739]; endonuclease activity [GO:0004519]; RNA binding [GO:0003723]; Group I intron splicing [GO:0000372]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial mRNA processing [GO:0090615]; mRNA processing [GO:0006397]; proton transmembrane transport [GO:1902600]"
P03962,cytosol [GO:0005829]; orotidine-5'-phosphate decarboxylase activity [GO:0004590]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; UMP biosynthetic process [GO:0006222]
P03965,carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; dihydroorotase activity [GO:0004151]; metal ion binding [GO:0046872]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; arginine biosynthetic process [GO:0006526]; citrulline biosynthetic process [GO:0019240]; pyrimidine nucleotide biosynthetic process [GO:0006221]; UTP biosynthetic process [GO:0006228]
P04037,"mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]; mitochondrial cytochrome c oxidase assembly [GO:0033617]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; proton transmembrane transport [GO:1902600]"
P04039,"mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; oxidoreductase activity [GO:0016491]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; proton transmembrane transport [GO:1902600]"
P04050,"cytoplasmic stress granule [GO:0010494]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; RNA-templated transcription [GO:0001172]; transcription by RNA polymerase II [GO:0006366]; transcription elongation by RNA polymerase II [GO:0006368]; transcription initiation at RNA polymerase II promoter [GO:0006367]; translesion synthesis [GO:0019985]"
P04051,nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; termination of RNA polymerase III transcription [GO:0006386]; transcription by RNA polymerase III [GO:0006383]; transcription initiation at RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797]
P04147,cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; intracellular non-membrane-bounded organelle [GO:0043232]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; molecular condensate scaffold activity [GO:0140693]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; promoter-specific chromatin binding [GO:1990841]; ribonuclease inhibitor activity [GO:0008428]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060211]; regulation of translational initiation [GO:0006446]
P04385,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; carbohydrate phosphorylation [GO:0046835]; galactose catabolic process via UDP-galactose [GO:0033499]; galactose metabolic process [GO:0006012]; positive regulation of transcription by galactose [GO:0000411]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]
P04386,"nucleus [GO:0005634]; transcription repressor complex [GO:0017053]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]; galactose metabolic process [GO:0006012]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]; regulation of transcription from RNA polymerase II promoter by galactose [GO:0000431]"
P04387,cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; transcription repressor complex [GO:0017053]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; kinase inhibitor activity [GO:0019210]; nucleotide binding [GO:0000166]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; galactose metabolic process [GO:0006012]; negative regulation of phosphorylation [GO:0042326]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]; regulation of transcription from RNA polymerase II promoter by galactose [GO:0000431]
P04397,cytosol [GO:0005829]; aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246]; UDP-glucose 4-epimerase activity [GO:0003978]; galactose catabolic process via UDP-galactose [GO:0033499]
P04456,"cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; preribosome, large subunit precursor [GO:0030687]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]"
P04710,cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; ATP:ADP antiporter activity [GO:0005471]; aerobic respiration [GO:0009060]; heme biosynthetic process [GO:0006783]; heme transport [GO:0015886]; mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]; mitochondrial transport [GO:0006839]
P04786,"nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; chromatin organization [GO:0006325]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; DNA strand elongation involved in DNA replication [GO:0006271]; DNA topological change [GO:0006265]; mitotic chromosome condensation [GO:0007076]; nuclear migration [GO:0007097]; rDNA heterochromatin formation [GO:0000183]; regulation of mitotic recombination [GO:0000019]; regulation of transcription by RNA polymerase II [GO:0006357]; rRNA transcription [GO:0009303]; transcription elongation by RNA polymerase II [GO:0006368]"
P04802,aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; aspartyl-tRNA aminoacylation [GO:0006422]
P04806,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]; carbohydrate phosphorylation [GO:0046835]; fructose import across plasma membrane [GO:1990539]; fructose metabolic process [GO:0006000]; glucose 6-phosphate metabolic process [GO:0051156]; glucose import [GO:0046323]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]; intracellular glucose homeostasis [GO:0001678]; mannose metabolic process [GO:0006013]
P04807,cytosol [GO:0005829]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]; carbohydrate phosphorylation [GO:0046835]; fructose import across plasma membrane [GO:1990539]; fructose metabolic process [GO:0006000]; glucose 6-phosphate metabolic process [GO:0051156]; glucose import [GO:0046323]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]; intracellular glucose homeostasis [GO:0001678]; mannose metabolic process [GO:0006013]; negative regulation of apoptotic signaling pathway [GO:2001234]; regulation of cell size [GO:0008361]; regulation of transcription by glucose [GO:0046015]
P04817,eisosome [GO:0032126]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; basic amino acid transmembrane transporter activity [GO:0015174]; L-arginine transmembrane transporter activity [GO:0061459]; amino acid transmembrane transport [GO:0003333]; basic amino acid transport [GO:0015802]; L-arginine transmembrane transport [GO:1903826]; transmembrane transport [GO:0055085]
P04819,mitochondrion [GO:0005739]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; metal ion binding [GO:0046872]; base-excision repair [GO:0006284]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; DNA ligation [GO:0006266]; DNA recombination [GO:0006310]; lagging strand elongation [GO:0006273]; maintenance of DNA trinucleotide repeats [GO:0035753]; mitotic cell cycle [GO:0000278]; nucleotide-excision repair [GO:0006289]; Okazaki fragment processing involved in mitotic DNA replication [GO:1903461]
P04821,cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; guanyl-nucleotide exchange factor activity [GO:0005085]; cell cycle [GO:0007049]; cell division [GO:0051301]; Ras protein signal transduction [GO:0007265]; regulation of cell cycle [GO:0051726]; traversing start control point of mitotic cell cycle [GO:0007089]
